TruckID,AssignedDockPosition,start_loading_time,end_loading_time
5,3,5,6
T_extra_3_5879,3,11,11
1,4,5,6
2,4,11,12
3,4,17,18
4,4,23,24
T_extra_4_3519,4,29,30
