TruckID,AssignedDockPosition,start_loading_time,end_loading_time
1,2,5,5
3,2,10,10
4,2,15,15
6,3,5,6
8,3,11,11
2,4,5,6
5,4,11,12
7,4,17,18
T_extra_1_7922,4,23,24
