TruckID,AssignedDockPosition,start_loading_time,end_loading_time
4,2,5,5
8,2,10,10
1,3,5,5
5,3,10,10
9,4,5,5
T_extra_1_6842,4,10,10
3,5,5,6
6,5,11,11
2,6,5,6
7,7,5,6
