TruckID,AssignedDockPosition,start_loading_time,end_loading_time
10,1,5,5
T_extra_1_2935,1,10,10
3,3,5,5
4,3,10,10
5,3,15,15
9,3,20,20
2,4,5,5
1,5,5,6
T_new_1,5,11,12
6,6,5,5
7,6,10,11
8,6,16,17
T_extra_1_9207,6,22,22
