TruckID,AssignedDockPosition,start_loading_time,end_loading_time
4,1,5,5
6,1,10,10
7,1,15,15
5,2,5,6
T_extra_3_4317,2,11,11
1,3,5,6
2,3,11,11
T_new_3,3,16,16
10,4,5,5
3,4,10,11
8,4,16,16
9,5,5,5
