TruckID,AssignedDockPosition,start_loading_time,end_loading_time
1,1,5,5
6,1,10,10
8,1,15,15
9,1,20,20
3,2,5,5
2,3,5,5
5,4,5,6
4,5,5,5
7,5,10,10
T_extra_2_2565,5,15,15
