TruckID,AssignedDockPosition,start_loading_time,end_loading_time
4,1,5,5
6,1,10,10
7,1,15,15
8,1,20,21
T_new_4,1,26,26
1,2,5,5
2,2,10,11
3,3,5,5
5,3,10,10
9,3,15,15
T_extra_4_2420,3,20,20
