TruckID,AssignedDockPosition,start_loading_time,end_loading_time
T_extra_1_6787,1,5,6
6,2,5,6
1,3,5,5
3,3,10,10
5,3,15,15
7,3,20,21
2,4,5,5
4,4,10,11
T_extra_1_8982,4,16,16
