TruckID,AssignedDockPosition,start_loading_time,end_loading_time
4,1,5,5
T_extra_1_1110,1,10,10
T_extra_1_7812,1,15,15
T_new_2,1,20,20
1,2,5,5
T_extra_5_1010,2,10,10
T_new_1,2,15,15
2,3,5,5
T_extra_2_8496,3,10,10
3,4,5,6
5,4,11,11
T_extra_5_8109,5,5,5
