TruckID,AssignedDockPosition,start_loading_time,end_loading_time
6,1,5,5
3,2,5,5
2,3,5,5
5,3,10,10
7,3,15,15
8,4,5,5
4,5,5,5
1,6,5,5
10,6,10,10
9,6,15,15
