TruckID,AssignedDockPosition,start_loading_time,end_loading_time
2,1,5,5
T_new_4,1,10,10
T_extra_5_4807,2,5,5
3,4,5,5
1,5,5,5
4,6,5,6
5,7,5,5
T_extra_4_9877,7,10,11
