TruckID,AssignedDockPosition,start_loading_time,end_loading_time
6,1,5,5
7,1,10,10
9,1,15,15
T_extra_1_6266,1,20,20
3,2,5,5
8,2,10,10
1,3,5,5
2,3,10,11
4,4,5,5
5,4,10,11
T_new_1,4,16,17
