TruckID,AssignedDockPosition,start_loading_time,end_loading_time
5,2,5,5
1,3,5,5
3,3,10,11
8,3,16,17
9,3,22,22
6,4,5,5
2,5,5,5
4,5,10,11
7,5,16,16
