TruckID,AssignedDockPosition,start_loading_time,end_loading_time
4,1,5,5
8,2,5,5
1,3,5,5
2,3,10,10
5,3,15,15
10,4,5,5
3,5,5,5
6,5,10,11
7,5,16,16
9,5,21,21
