Instance,BestFitness,ExecutionTime(s),PopulationSize,Generations,best_chromosome
1,1446.0,0.282,10,20,"[[1], 0, 1, 0, [2], 0, 5, 0, [3], 0, 3, 0, [], 0, 4, 0, [], 0, 3, 0, [], 0, 3, 0, [], 0, 5, 0, [4], 0, 1, 0, [], 0, 5, 0, [], 0, 1, 0]"
2,2555.5,0.638,10,20,"[[2], 0, 5, 0, [3], 0, 1, 0, [8], 0, 5, 0, [7, 1], 0, 5, 0, [], 0, 1, 0, [], 0, 1, 0, [], 0, 1, 0, [4], 0, 5, 0, [], 0, 1, 0, [5], 0, 5, 0, [6], 0, 5, 0]"
3,2568.5,0.564,10,20,"[[11, 6], 0, 7, 0, [1, 5], 0, 2, 0, [2, 7, 10], 0, 7, 0, [3, 13], 0, 7, 0, [9], 0, 7, 0, [12], 0, 6, 0, [8, 4], 0, 4, 0]"
4,2579.0,0.555,10,20,"[[2, 4], 0, 3, 0, [1, 3], 0, 3, 0, [8, 5], 0, 3, 0, [10], 0, 3, 0, [6, 11], 0, 3, 0, [], 0, 1, 0, [], 0, 2, 0, [], 0, 1, 0, [7], 0, 3, 0, [9], 0, 3, 0]"
5,2854.0,0.608,10,20,"[[2, 3], 0, 3, 0, [5], 0, 1, 0, [], 0, 1, 0, [7], 0, 4, 0, [6], 0, 3, 0, [8], 0, 4, 0, [1, 9], 0, 4, 0, [4], 0, 4, 0, [10], 0, 4, 0]"
6,2159.5,0.406,10,20,"[[6], 0, 3, 0, [7], 0, 3, 0, [1], 0, 2, 0, [2], 0, 3, 0, [], 0, 1, 0, [3, 4], 0, 3, 0, [], 0, 1, 0, [5], 0, 3, 0]"
7,2174.5,0.361,10,20,"[[1], 0, 4, 0, [], 0, 1, 0, [], 0, 1, 0, [3], 0, 4, 0, [], 0, 1, 0, [7], 0, 4, 0, [], 0, 1, 0, [4, 8], 0, 4, 0, [2, 6], 0, 4, 0, [5], 0, 4, 0]"
8,806.0,0.265,10,20,"[[1, 4, 6], 0, 4, 0, [], 0, 1, 0, [], 0, 1, 0, [], 0, 1, 0, [2, 5, 3], 0, 4, 0, [], 0, 1, 0, [], 0, 1, 0]"
9,2707.5,0.488,10,20,"[[5, 9], 0, 5, 0, [], 0, 1, 0, [], 0, 1, 0, [1, 12], 0, 5, 0, [2], 0, 5, 0, [], 0, 1, 0, [8], 0, 5, 0, [], 0, 1, 0, [6, 13], 0, 5, 0, [7], 0, 5, 0, [4, 11], 0, 5, 0, [3, 10], 0, 5, 0]"
10,1044.0,0.265,10,20,"[[], 0, 1, 0, [3], 0, 3, 0, [], 0, 1, 0, [], 0, 1, 0, [1], 0, 3, 0, [], 0, 1, 0, [], 0, 1, 0, [2, 4], 0, 3, 0]"
